Unnamed: 0.1;Unnamed: 0;Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo agregado
168;174;Apartamento;Tijuca;2;1;1;71;1500.0;600.0;0.0;21.13;Apartamento
169;175;Apartamento;Barra da Tijuca;2;1;1;81;1900.0;1200.0;121.0;23.46;Apartamento
171;177;Apartamento;Leblon;3;1;0;87;3800.0;970.0;273.0;43.68;Apartamento
173;179;Apartamento;Laranjeiras;4;1;2;288;7000.0;1870.0;582.0;24.31;Apartamento
174;180;Apartamento;Recreio dos Bandeirantes;1;1;1;102;1900.0;688.0;0.0;18.63;Apartamento
175;181;Apartamento;Leblon;2;1;0;70;4200.0;1100.0;200.0;60.0;Apartamento
176;183;Apartamento;Pilares;3;0;0;65;1200.0;350.0;16.0;18.46;Apartamento
177;184;Apartamento;Barra da Tijuca;3;3;2;169;6500.0;1886.0;450.0;38.46;Apartamento
179;186;Apartamento;Laranjeiras;3;1;1;90;2400.0;1311.0;0.0;26.67;Apartamento
180;187;Apartamento;Tijuca;2;0;0;50;1800.0;347.0;25.0;36.0;Apartamento
181;189;Apartamento;Ipanema;3;1;1;140;6500.0;1800.0;506.0;46.43;Apartamento
182;190;Apartamento;Campo Grande;2;0;0;60;800.0;380.0;0.0;13.33;Apartamento
185;193;Apartamento;Centro;1;0;0;35;1350.0;420.0;24.0;38.57;Apartamento
186;194;Apartamento;Tijuca;2;0;0;63;1400.0;440.0;61.0;22.22;Apartamento
188;196;Apartamento;Copacabana;3;1;0;112;3800.0;1123.0;286.0;33.93;Apartamento
189;198;Apartamento;Tijuca;3;1;0;129;1800.0;850.0;116.0;13.95;Apartamento
190;199;Apartamento;Barra da Tijuca;4;3;3;160;8600.0;2300.0;250.0;53.75;Apartamento
191;200;Apartamento;Recreio dos Bandeirantes;2;1;1;93;1400.0;1300.0;0.0;15.05;Apartamento
192;201;Apartamento;Freguesia (Jacarepaguá);3;1;1;93;1800.0;650.0;95.0;19.35;Apartamento
193;202;Apartamento;Barra da Tijuca;1;1;1;60;2200.0;1600.0;350.0;36.67;Apartamento
194;203;Apartamento;Taquara;2;2;0;55;790.0;350.0;0.0;14.36;Apartamento
196;205;Apartamento;Copacabana;2;0;0;54;1800.0;590.0;0.0;33.33;Apartamento
198;207;Apartamento;Catete;2;1;1;70;3300.0;1365.0;180.0;47.14;Apartamento
200;209;Apartamento;Maracanã;2;1;0;53;1300.0;492.0;16.0;24.53;Apartamento
201;211;Apartamento;Botafogo;1;0;0;35;1000.0;293.0;86.0;28.57;Apartamento
202;212;Apartamento;Tijuca;3;1;0;164;3500.0;1310.0;257.0;21.34;Apartamento
203;213;Apartamento;Jacarepaguá;2;1;1;60;1200.0;524.0;13.0;20.0;Apartamento
